,Filename,Ratings
0,CF680.jpg,4
1,CF681.jpg,4
2,CF85.jpg,3
3,CF84.jpg,3
4,CF120.jpg,3
5,CF346.jpg,3
6,CF347.jpg,4
7,CF121.jpg,1
8,CF17.jpg,4
9,CF16.jpg,4
10,CF612.jpg,5
11,CF474.jpg,3
12,CF475.jpg,4
13,CF613.jpg,5
14,CF535.jpg,3
15,CF534.jpg,3
16,CF207.jpg,2
17,CF206.jpg,2
18,CF295.jpg,4
19,CF294.jpg,3
20,CF169.jpg,2
21,CF168.jpg,3
22,CF724.jpg,4
23,CF542.jpg,3
24,CF543.jpg,3
25,CF725.jpg,5
26,CF270.jpg,4
27,CF271.jpg,3
28,CF29.jpg,3
29,CF28.jpg,4
30,CF378.jpg,2
31,CF379.jpg,5
32,CF239.jpg,3
33,CF238.jpg,3
34,CF491.jpg,3
35,CF490.jpg,3
36,CF331.jpg,1
37,CF157.jpg,3
38,CF156.jpg,3
39,CF330.jpg,3
40,CF60.jpg,3
41,CF599.jpg,5
42,CF61.jpg,4
43,CF598.jpg,5
44,CF403.jpg,3
45,CF665.jpg,4
46,CF664.jpg,4
47,CF402.jpg,3
48,CF54.jpg,3
49,CF55.jpg,4
50,CF305.jpg,3
51,CF163.jpg,3
52,CF162.jpg,2
53,CF304.jpg,3
54,CF437.jpg,3
55,CF651.jpg,4
56,CF650.jpg,4
57,CF436.jpg,3
58,CF397.jpg,2
59,CF396.jpg,3
60,CF618.jpg,5
61,CF619.jpg,5
62,CF710.jpg,4
63,CF576.jpg,5
64,CF577.jpg,5
65,CF244.jpg,3
66,CF245.jpg,1
67,CF409.jpg,4
68,CF408.jpg,4
69,CF593.jpg,4
70,CF592.jpg,4
71,CF501.jpg,3
72,CF500.jpg,3
73,CF233.jpg,3
74,CF232.jpg,4
75,CF23.jpg,4
76,CF22.jpg,4
77,CF114.jpg,2
78,CF372.jpg,3
79,CF373.jpg,1
80,CF115.jpg,3
81,CF626.jpg,3
82,CF440.jpg,4
83,CF441.jpg,4
84,CF627.jpg,5
85,CF549.jpg,5
86,CF186.jpg,3
87,CF187.jpg,3
88,CF282.jpg,4
89,CF283.jpg,3
90,CF318.jpg,3
91,CF319.jpg,2
92,CF49.jpg,5
93,CF48.jpg,3
94,CF522.jpg,3
95,CF744.jpg,4
96,CF745.jpg,4
